Count of Points,Area in Square Kilometers,Population Count (100%),Housing Unit Count (100%),Total Population 2010,Population Density 2010,Total Area 2010 (square miles),2010 Housing Units:,2010 Occupied Units,2010 Vacant Units,% 2010 Occupied Units,% 2010 Vacant Units,% White 2010,% Black 2010,% American Indian 2010,% Asian 2010,% Native Pacific Islander 2010,% Other 2010,% Multiracial 2010,Crime Rate
32,0.93508794,5460,2353,5460,15122.9986,0.361,2353,2186,167,92.9,7.1,51.39,19.95,0.77,7.23,0.04,15.02,5.6,5.860805861
15,0.34821128,2051,874,2051,15255.4375,0.1344,874,815,59,93.25,6.75,33.25,42.56,1.71,2.19,0,15.21,5.07,7.313505607
55,0.81793218,2405,955,2405,7615.479,0.3158,955,898,57,94.03,5.97,51.02,28.32,0.75,2.54,0,12.68,4.7,22.86902287
24,0.52245063,3566,1362,3566,17678.1176,0.2017,1362,1285,77,94.35,5.65,46.41,29.36,0.45,2.61,0.17,15.23,5.78,6.73022995
31,0.95056425,4309,1767,4309,11836.4887,0.367,1767,1675,92,94.79,5.21,58.92,23.72,0.32,2.67,0.09,9.56,4.71,7.194244604
21,0.64784782,3253,1371,3253,13004.9502,0.2501,1371,1300,71,94.82,5.18,76.15,10.7,0.31,2.8,0,6.06,4,6.455579465
45,0.6843,3806,1684,3806,14405.2654,0.2642,1684,1580,104,93.82,6.18,65.58,17.89,0.42,3.02,0,8.91,4.18,11.82343668
2,1.41486765,2969,1295,2969,5466.9183,0.5461,1295,1235,60,95.37,4.63,89.79,2.59,0.34,4.45,0.03,1.08,1.72,0.673627484
12,1.17128793,5077,2227,5077,11226.4279,0.4522,2227,2089,138,93.8,6.2,85.39,5.83,0.24,2.6,0,3.49,2.46,2.363600552
10,0.35324684,1508,696,1508,11056.5436,0.1364,696,660,36,94.83,5.17,87.6,3.65,0.13,3.58,0,1.33,3.71,6.631299735
8,0.29029664,2095,1060,2095,18691.3525,0.1121,1060,1000,60,94.34,5.66,74.13,9.02,0.24,6.01,0,7.11,3.48,3.818615752
6,1.84046339,2444,953,2444,3443.9437,0.7107,953,898,55,94.23,5.77,80.89,5.11,0.33,8.59,0.04,1.1,3.93,2.454991817
31,0.71946381,3439,1726,3439,12379.9373,0.2778,1726,1659,67,96.12,3.88,63.56,17.33,0.52,3.43,0,10.88,4.27,9.014248328
54,0.66292661,4795,1895,4795,18733.6312,0.256,1895,1784,111,94.14,5.86,52.64,19.81,0.94,2.88,0,17.58,6.15,11.26173097
75,0.99893133,5751,2825,5751,14911.0056,0.3857,2825,2710,115,95.93,4.07,80.75,7.44,0.43,4.56,0.03,3.23,3.55,13.04121022
50,0.21370742,2331,905,2331,28250.4482,0.0825,905,852,53,94.14,5.86,50.79,14.89,1.63,2.7,0,22.69,7.29,21.45002145
42,0.25821231,2335,1103,2335,23421.15,0.0997,1103,1054,49,95.56,4.44,80.86,5.65,0.34,3.47,0.04,4.63,5.01,17.98715203
19,0.29748558,2014,1044,2014,17534.4499,0.1149,1044,983,61,94.16,5.84,70.26,10.18,0.2,8.39,0.05,6.85,4.07,9.433962264
27,4.39017381,5906,2816,5906,3520.973,1.6954,2816,2668,148,94.74,5.26,83.8,3.42,0.07,8.86,0,1.56,2.3,4.571622079
25,1.35265717,4506,1914,4506,8627.8363,0.5223,1914,1829,85,95.56,4.44,89.97,2.69,0.31,4.66,0.02,0.62,1.73,5.548158012
23,1.44217912,4419,1811,4419,7936.0059,0.5568,1811,1756,55,96.96,3.04,86.38,3.85,0.07,5.25,0.05,2.04,2.38,5.204797465
28,2.27288784,4637,2196,4637,5709.9864,0.8771,2196,2102,94,95.72,4.28,83.2,4.46,0.09,8.39,0.06,2.2,1.6,6.038386888
13,1.63788381,2901,1322,2901,4688.3388,0.6328,1322,1258,64,95.16,4.84,76.73,8,0.1,8,0.03,5.31,1.83,4.481213375
39,1.05466036,5107,2192,5107,12611.8621,0.4069,2192,2112,80,96.35,3.65,37.81,43.67,0.35,5.01,0,9.26,3.9,7.636577247
12,2.15538497,4401,1654,4401,5479.8973,0.8321,1654,1548,106,93.59,6.41,44.26,41.08,0.18,2.07,0.09,8.57,3.75,2.726653033
34,1.0109093,3675,1324,3675,9415.4923,0.3903,1324,1274,50,96.22,3.78,45.14,36.35,0.35,1.82,0.05,11.73,4.54,9.25170068
22,0.28296827,1901,898,1901,17593.5937,0.1091,898,791,107,88.08,11.92,24.04,52.81,0.74,1.63,0,14.94,5.84,11.57285639
23,0.62736006,2531,1051,2531,10448.9601,0.2422,1051,977,74,92.96,7.04,45.91,38.01,0.63,2.29,0,8.49,4.66,9.087317266
2,1.41536782,2072,935,2072,4037.749,0.5462,935,861,74,92.09,7.91,52.22,31.42,0.48,2.46,0,9.46,3.96,0.9652509653
19,1.55580812,5600,2081,5600,9426.0953,0.6011,2081,1952,129,93.8,6.2,49.43,34.61,0.5,2.11,0.14,9.02,4.2,3.392857143
168,1.58884631,6382,2525,6382,10682.2541,0.6134,2525,2353,172,93.19,6.81,26.12,57.46,0.42,1.33,0.06,10.67,3.93,26.32403635
106,1.89087291,7650,2906,7650,10549.4898,0.7302,2906,2743,163,94.39,5.61,13.44,74.29,0.76,0.95,0.05,6.8,3.71,13.85620915
0,8.68008189,535,0,535,434.2009,3.3511,0,0,0,0,0,39.25,40.56,0.37,1.5,0.19,14.77,3.36,0
13,2.1035305,338,2,338,421.6868,0.8125,2,2,0,100,0,56.21,34.02,0.59,2.96,0,4.14,2.07,38.46153846
0,2.94099396,6,5,6,5.381,1.135,5,4,1,80,20,83.33,0,0,0,16.67,0,0,0
13,1.13101332,22,5,22,50.592,0.4369,5,5,0,100,0,13.64,63.64,0,0,0,0,22.73,590.9090909
12,2.73270068,418,136,418,398.9569,1.0547,136,85,51,62.5,37.5,30.86,58.85,0,3.35,0,5.26,1.67,28.70813397
9,2.11497821,0,0,0,0,0.8167,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.52880712,207,0,207,336.1575,0.9768,0,0,0,0,0,88.89,7.73,0,0.97,0.48,1.45,0.48,48.30917874
15,9.17235702,389,245,389,140.767,3.5414,245,236,9,96.33,3.67,80.98,3.34,1.03,7.97,0.26,2.57,3.86,38.56041131
3,2.09423254,12,0,12,33.9508,0.8085,0,0,0,0,0,66.67,25,0,8.33,0,0,0,250
2,1.2797482,9,3,9,18.6144,0.4945,3,3,0,100,0,100,0,0,0,0,0,0,222.2222222
0,0.74585566,0,0,0,0,0.2876,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.3297511,0,0,0,0,0.1275,0,0,0,0,0,0,0,0,0,0,0,0,0
