Count of Points,Area in Square Kilometers,Population Count (100%),Housing Unit Count (100%),Total Population 2010,Population Density 2010,Total Area 2010 (square miles),2010 Housing Units:,2010 Occupied Units,2010 Vacant Units,% 2010 Occupied Units,% 2010 Vacant Units,White 2010,Black 2010,American Indian 2010,Asian 2010,Native Pacific Islander 2010,Other 2010,Multiracial 2010,% White 2010,% Black 2010,% American Indian 2010,% Asian 2010,% Native Pacific Islander 2010,% Other 2010,% Multiracial 2010,Non-Hispanic 2010,Hispanic 2010,% Non-Hispanic 2010,% Hispanic 2010,2010 Hispanic,2010 Non-Hispanic:,2010 White,2010 Black,2010 American Indian,2010 Asian,2010 Native Pacific Islander,2010 Other,2010 Multiracial,% 2010 Hispanic,% 2010 Non-Hispanic:,% 2010 White,% 2010 Black,% 2010 American Indian,% 2010 Asian,% 2010 Native Pacific Islander,% 2010 Other,% 2010 Multiracial,Population 18 Years and Over 2010:,White 18 Years and Over 2010,Black 18 Years and Over 2010,American Indian 18 Years and Over 2010,Asian 18 Years and Over 2010,Native Pacific Islander 18 Years and Over 2010,Other 18 Years and Over 2010,Multiracial 18 Years and Over 2010,% White 18 Years and Over 2010,% Black 18 Years and Over 2010,% American Indian 18 Years and Over 2010,% Asian 18 Years and Over 2010,% Native Pacific Islander 18 Years and Over 2010,% Other 18 Years and Over 2010,% Multiracial 18 Years and Over 2010,2010 Hispanic 18 Years and Over,2010 Non-Hispanic 18 Years and Over:,2010 Non-Hispanic White 18 Years and Over,2010 Non-Hispanic Black 18 Years and Over,2010 Non-Hispanic American Indian 18 Years and Over,2010 Non-Hispanic Asian 18 Years and Over,2010 Non-Hispanic Native Pacific Islander 18 Years and Over,2010 Non-Hispanic Other 18 Years and Over,2010 Non-Hispanic Multiracial 18 Years and Over,% 2010 Hispanic 18 Years and Over,% 2010 Non-Hispanic 18 Years and Over:,% 2010 Non-Hispanic White 18 Years and Over,% 2010 Non-Hispanic Black 18 Years and Over,% 2010 Non-Hispanic American Indian 18 Years and Over,% 2010 Non-Hispanic Asian 18 Years and Over,% 2010 Non-Hispanic Native Pacific Islander 18 Years and Over,% 2010 Non-Hispanic Other 18 Years and Over,% 2010 Non-Hispanic Multiracial 18 Years and Over,Crime Rate
89,1.91393971,3240,2041,3240,4556.9434,0.739,2041,1753,288,85.89,14.11,2842,88,2,224,3,39,42,87.72,2.72,0.06,6.91,0.09,1.2,1.3,3084,156,95.19,4.81,156,3084,2743,68,2,222,3,10,36,4.81,95.19,84.66,2.1,0.06,6.85,0.09,0.31,1.11,2975,2631,68,2,201,3,39,31,88.44,2.29,0.07,6.76,0.1,1.31,1.04,135,2840,2547,52,2,199,3,10,27,4.54,95.46,85.61,1.75,0.07,6.69,0.1,0.34,0.91,27.4691358
849,1.10814014,5902,3383,5902,14999.1014,0.4275,3383,2875,508,84.98,15.02,3753,299,3,1606,4,90,147,63.59,5.07,0.05,27.21,0.07,1.52,2.49,5542,360,93.9,6.1,360,5542,3524,274,3,1604,3,11,123,6.1,93.9,59.71,4.64,0.05,27.18,0.05,0.19,2.08,5544,3564,285,3,1485,4,85,118,64.29,5.14,0.05,26.79,0.07,1.53,2.13,338,5206,3349,261,3,1484,3,10,96,6.1,93.9,60.41,4.71,0.05,26.77,0.05,0.18,1.73,143.8495425
173,0.26878234,5218,1690,5218,50281.4865,0.1038,1690,1533,157,90.71,9.29,1829,198,4,3041,1,55,90,35.05,3.79,0.08,58.28,0.02,1.05,1.72,5058,160,96.93,3.07,160,5058,1749,182,3,3038,1,9,76,3.07,96.93,33.52,3.49,0.06,58.22,0.02,0.17,1.46,4731,1818,161,4,2617,1,50,80,38.43,3.4,0.08,55.32,0.02,1.06,1.69,146,4585,1742,147,3,2614,1,9,69,3.09,96.91,36.82,3.11,0.06,55.25,0.02,0.19,1.46,33.15446531
115,0.33606288,3909,2706,3909,30126.0868,0.1298,2706,2448,258,90.47,9.53,3091,110,4,568,1,44,91,79.07,2.81,0.1,14.53,0.03,1.13,2.33,3748,161,95.88,4.12,161,3748,2983,105,4,567,1,17,71,4.12,95.88,76.31,2.69,0.1,14.5,0.03,0.43,1.82,3658,2910,103,4,528,1,37,75,79.55,2.82,0.11,14.43,0.03,1.01,2.05,143,3515,2810,99,4,527,1,16,58,3.91,96.09,76.82,2.71,0.11,14.41,0.03,0.44,1.59,29.41928882
73,0.27788688,1723,680,1723,16672.2059,0.1073,680,666,14,97.94,2.06,154,239,2,1206,0,81,41,8.94,13.87,0.12,69.99,0,4.7,2.38,1565,158,90.83,9.17,158,1565,110,221,2,1206,0,6,20,9.17,90.83,6.38,12.83,0.12,69.99,0,0.35,1.16,1358,142,153,2,986,0,52,23,10.46,11.27,0.15,72.61,0,3.83,1.69,101,1257,107,143,2,986,0,5,14,7.44,92.56,7.88,10.53,0.15,72.61,0,0.37,1.03,42.36796286
57,0.29727885,5460,3066,5460,47569.3946,0.1148,3066,2903,163,94.68,5.32,3422,465,19,938,1,436,179,62.67,8.52,0.35,17.18,0.02,7.99,3.28,4390,1070,80.4,19.6,1070,4390,2962,381,4,937,0,17,89,19.6,80.4,54.25,6.98,0.07,17.16,0,0.31,1.63,4710,3126,371,14,777,1,309,112,66.37,7.88,0.3,16.5,0.02,6.56,2.38,793,3917,2761,312,4,776,0,10,54,16.84,83.16,58.62,6.62,0.08,16.48,0,0.21,1.15,10.43956044
17,0.13253397,2240,1309,2240,43774.8855,0.0512,1309,1210,99,92.44,7.56,1902,96,3,130,1,49,59,84.91,4.29,0.13,5.8,0.04,2.19,2.63,2126,114,94.91,5.09,114,2126,1838,91,3,130,1,15,48,5.09,94.91,82.05,4.06,0.13,5.8,0.04,0.67,2.14,2007,1733,80,3,120,1,39,31,86.35,3.99,0.15,5.98,0.05,1.94,1.54,96,1911,1677,77,3,120,1,10,23,4.78,95.22,83.56,3.84,0.15,5.98,0.05,0.5,1.15,7.589285714
49,0.16413029,2361,1366,2361,37256.5918,0.0634,1366,1238,128,90.63,9.37,1397,586,7,235,0,45,91,59.17,24.82,0.3,9.95,0,1.91,3.85,2167,194,91.78,8.22,194,2167,1287,553,7,234,0,14,72,8.22,91.78,54.51,23.42,0.3,9.91,0,0.59,3.05,2056,1290,457,7,205,0,37,60,62.74,22.23,0.34,9.97,0,1.8,2.92,147,1909,1201,437,7,204,0,10,50,7.15,92.85,58.41,21.25,0.34,9.92,0,0.49,2.43,20.75391783
41,0.1943907,3706,2156,3706,49377.517,0.0751,2156,2044,112,94.81,5.19,2479,730,5,265,0,104,123,66.89,19.7,0.13,7.15,0,2.81,3.32,3369,337,90.91,9.09,337,3369,2307,685,3,264,0,20,90,9.09,90.91,62.25,18.48,0.08,7.12,0,0.54,2.43,3371,2330,594,5,252,0,87,103,69.12,17.62,0.15,7.48,0,2.58,3.06,295,3076,2175,561,3,251,0,15,71,8.75,91.25,64.52,16.64,0.09,7.45,0,0.44,2.11,11.06314085
31,0.16746853,3329,1798,3329,51484.5736,0.0647,1798,1728,70,96.11,3.89,1725,833,16,270,1,330,154,51.82,25.02,0.48,8.11,0.03,9.91,4.63,2615,714,78.55,21.45,714,2615,1482,747,9,270,1,11,95,21.45,78.55,44.52,22.44,0.27,8.11,0.03,0.33,2.85,2754,1567,615,12,251,1,199,109,56.9,22.33,0.44,9.11,0.04,7.23,3.96,459,2295,1396,564,8,251,1,8,67,16.67,83.33,50.69,20.48,0.29,9.11,0.04,0.29,2.43,9.312105737
257,0.36277071,3753,2185,3753,26794.5303,0.1401,2185,2088,97,95.56,4.44,2017,643,24,671,1,272,125,53.74,17.13,0.64,17.88,0.03,7.25,3.33,3240,513,86.33,13.67,513,3240,1837,593,17,670,1,38,84,13.67,86.33,48.95,15.8,0.45,17.85,0.03,1.01,2.24,3460,1928,557,19,634,1,222,99,55.72,16.1,0.55,18.32,0.03,6.42,2.86,422,3038,1768,516,14,633,1,35,71,12.2,87.8,51.1,14.91,0.4,18.29,0.03,1.01,2.05,68.47855049
121,0.4022294,3131,1399,3131,20160.8352,0.1553,1399,1304,95,93.21,6.79,1468,666,11,478,4,389,115,46.89,21.27,0.35,15.27,0.13,12.42,3.67,2373,758,75.79,24.21,758,2373,1218,592,7,476,4,18,58,24.21,75.79,38.9,18.91,0.22,15.2,0.13,0.57,1.85,2571,1318,493,8,412,4,265,71,51.26,19.18,0.31,16.02,0.16,10.31,2.76,537,2034,1129,436,7,410,4,13,35,20.89,79.11,43.91,16.96,0.27,15.95,0.16,0.51,1.36,38.64580006
160,1.02638796,3350,744,3350,8453.367,0.3963,744,681,63,91.53,8.47,1122,1537,18,44,0,470,159,33.49,45.88,0.54,1.31,0,14.03,4.75,2408,942,71.88,28.12,942,2408,516,1448,6,44,0,283,111,28.12,71.88,15.4,43.22,0.18,1.31,0,8.45,3.31,2935,1072,1340,12,41,0,353,117,36.52,45.66,0.41,1.4,0,12.03,3.99,804,2131,501,1278,6,41,0,214,91,27.39,72.61,17.07,43.54,0.2,1.4,0,7.29,3.1,47.76119403
56,0.26883134,1769,791,1769,17042.9442,0.1038,791,693,98,87.61,12.39,198,1155,19,16,0,290,91,11.19,65.29,1.07,0.9,0,16.39,5.14,1261,508,71.28,28.72,508,1261,83,1065,11,16,0,45,41,28.72,71.28,4.69,60.2,0.62,0.9,0,2.54,2.32,1244,141,821,12,13,0,195,62,11.33,66,0.96,1.05,0,15.68,4.98,330,914,64,775,9,13,0,25,28,26.53,73.47,5.14,62.3,0.72,1.05,0,2.01,2.25,31.656303
65,0.44046452,2710,1249,2710,15935.0225,0.1701,1249,1225,24,98.08,1.92,488,1536,28,67,0,383,208,18.01,56.68,1.03,2.47,0,14.13,7.68,1726,984,63.69,36.31,984,1726,200,1349,16,66,0,15,80,36.31,63.69,7.38,49.78,0.59,2.44,0,0.55,2.95,2010,383,1134,25,64,0,264,140,19.05,56.42,1.24,3.18,0,13.13,6.97,663,1347,191,1017,15,63,0,9,52,32.99,67.01,9.5,50.6,0.75,3.13,0,0.45,2.59,23.98523985
55,0.24556812,3096,1323,3096,32653.023,0.0948,1323,1269,54,95.92,4.08,646,1673,11,101,3,494,168,20.87,54.04,0.36,3.26,0.1,15.96,5.43,1767,1329,57.07,42.93,1329,1767,233,1369,2,99,1,13,50,42.93,57.07,7.53,44.22,0.06,3.2,0.03,0.42,1.61,2148,462,1114,11,89,2,340,130,21.51,51.86,0.51,4.14,0.09,15.83,6.05,871,1277,217,923,2,88,0,7,40,40.55,59.45,10.1,42.97,0.09,4.1,0,0.33,1.86,17.76485788
126,0.56016074,4271,920,4271,19747.5355,0.2163,920,882,38,95.87,4.13,2369,953,18,386,0,389,156,55.47,22.31,0.42,9.04,0,9.11,3.65,3528,743,82.6,17.4,743,3528,2146,850,12,385,0,45,90,17.4,82.6,50.25,19.9,0.28,9.01,0,1.05,2.11,3779,2309,738,14,360,0,240,118,61.1,19.53,0.37,9.53,0,6.35,3.12,496,3283,2131,675,10,359,0,32,76,13.13,86.87,56.39,17.86,0.26,9.5,0,0.85,2.01,29.50128775
35,0.36470245,3885,946,3885,27590.0833,0.1408,946,927,19,97.99,2.01,1708,946,44,390,0,614,183,43.96,24.35,1.13,10.04,0,15.8,4.71,2540,1345,65.38,34.62,1345,2540,1258,791,19,386,0,12,74,34.62,65.38,32.38,20.36,0.49,9.94,0,0.31,1.9,3115,1549,621,25,368,0,421,131,49.73,19.94,0.8,11.81,0,13.52,4.21,887,2228,1251,532,14,364,0,5,62,28.48,71.52,40.16,17.08,0.45,11.69,0,0.16,1.99,9.009009009
81,0.25666809,4008,1776,4008,40444.1237,0.0991,1776,1686,90,94.93,5.07,2748,360,10,660,4,97,129,68.56,8.98,0.25,16.47,0.1,2.42,3.22,3695,313,92.19,7.81,313,3695,2601,329,5,660,4,8,88,7.81,92.19,64.9,8.21,0.12,16.47,0.1,0.2,2.2,3802,2673,289,9,630,4,85,112,70.31,7.6,0.24,16.57,0.11,2.24,2.95,254,3548,2550,267,5,630,4,8,84,6.68,93.32,67.07,7.02,0.13,16.57,0.11,0.21,2.21,20.20958084
97,0.55848694,4890,2287,4890,22677.3741,0.2156,2287,2234,53,97.68,2.32,2512,799,35,929,3,402,210,51.37,16.34,0.72,19,0.06,8.22,4.29,3940,950,80.57,19.43,950,3940,2180,684,19,920,3,14,120,19.43,80.57,44.58,13.99,0.39,18.81,0.06,0.29,2.45,4228,2370,592,31,801,3,288,143,56.05,14,0.73,18.95,0.07,6.81,3.38,671,3557,2119,516,18,796,3,12,93,15.87,84.13,50.12,12.2,0.43,18.83,0.07,0.28,2.2,19.83640082
51,0.49587724,4091,1781,4091,21367.478,0.1915,1781,1682,99,94.44,5.56,2231,951,11,555,2,200,141,54.53,23.25,0.27,13.57,0.05,4.89,3.45,3483,608,85.14,14.86,608,3483,1953,876,6,549,1,15,83,14.86,85.14,47.74,21.41,0.15,13.42,0.02,0.37,2.03,3752,2102,858,9,509,2,160,112,56.02,22.87,0.24,13.57,0.05,4.26,2.99,491,3261,1876,798,6,503,1,12,65,13.09,86.91,50,21.27,0.16,13.41,0.03,0.32,1.73,12.46638964
57,0.28237568,3265,1232,3265,29947.2006,0.109,1232,1125,107,91.31,8.69,957,1172,39,85,0,743,269,29.31,35.9,1.19,2.6,0,22.76,8.24,1545,1720,47.32,52.68,1720,1545,393,962,3,83,0,17,87,52.68,47.32,12.04,29.46,0.09,2.54,0,0.52,2.66,2225,729,761,28,69,0,469,169,32.76,34.2,1.26,3.1,0,21.08,7.6,1114,1111,349,627,3,67,0,11,54,50.07,49.93,15.69,28.18,0.13,3.01,0,0.49,2.43,17.45788668
155,0.58033879,4760,2111,4760,21243.3838,0.2241,2111,2001,110,94.79,5.21,937,2350,60,45,5,1025,338,19.68,49.37,1.26,0.95,0.11,21.53,7.1,2499,2261,52.5,47.5,2261,2499,299,2012,22,39,5,27,95,47.5,52.5,6.28,42.27,0.46,0.82,0.11,0.57,2,3510,690,1807,47,34,2,702,228,19.66,51.48,1.34,0.97,0.06,20,6.5,1542,1968,250,1582,19,32,2,17,66,43.93,56.07,7.12,45.07,0.54,0.91,0.06,0.48,1.88,32.56302521
65,0.62048428,3003,1462,3003,12535.0075,0.2396,1462,1300,162,88.92,11.08,830,1648,37,93,0,256,139,27.64,54.88,1.23,3.1,0,8.52,4.63,2417,586,80.49,19.51,586,2417,685,1516,18,92,0,18,88,19.51,80.49,22.81,50.48,0.6,3.06,0,0.6,2.93,2480,775,1298,20,85,0,201,101,31.25,52.34,0.81,3.43,0,8.1,4.07,446,2034,654,1204,9,84,0,13,70,17.98,82.02,26.37,48.55,0.36,3.39,0,0.52,2.82,21.64502165
37,0.33629413,2134,905,2134,16435.1753,0.1298,905,839,66,92.71,7.29,336,1446,12,25,2,207,106,15.75,67.76,0.56,1.17,0.09,9.7,4.97,1618,516,75.82,24.18,516,1618,177,1329,9,25,2,25,51,24.18,75.82,8.29,62.28,0.42,1.17,0.09,1.17,2.39,1645,264,1126,10,25,1,137,82,16.05,68.45,0.61,1.52,0.06,8.33,4.98,354,1291,166,1038,8,25,1,17,36,21.52,78.48,10.09,63.1,0.49,1.52,0.06,1.03,2.19,17.33833177
70,0.63356519,3820,1599,3820,15616.0296,0.2446,1599,1473,126,92.12,7.88,262,2890,34,63,1,367,203,6.86,75.65,0.89,1.65,0.03,9.61,5.31,3038,782,79.53,20.47,782,3038,74,2725,18,58,1,37,125,20.47,79.53,1.94,71.34,0.47,1.52,0.03,0.97,3.27,2753,173,2148,24,41,1,245,121,6.28,78.02,0.87,1.49,0.04,8.9,4.4,476,2277,67,2040,16,40,1,26,87,17.29,82.71,2.43,74.1,0.58,1.45,0.04,0.94,3.16,18.32460733
54,0.37392147,2898,1388,2898,20073.2382,0.1444,1388,1139,249,82.06,17.94,216,2031,16,40,4,401,190,7.45,70.08,0.55,1.38,0.14,13.84,6.56,2162,736,74.6,25.4,736,2162,78,1879,13,39,4,51,98,25.4,74.6,2.69,64.84,0.45,1.35,0.14,1.76,3.38,2132,169,1518,11,33,2,270,129,7.93,71.2,0.52,1.55,0.09,12.66,6.05,490,1642,75,1417,10,32,2,33,73,22.98,77.02,3.52,66.46,0.47,1.5,0.09,1.55,3.42,18.63354037
98,0.43338377,3115,1397,3115,18615.8095,0.1673,1397,1256,141,89.91,10.09,263,2215,21,18,0,421,177,8.44,71.11,0.67,0.58,0,13.52,5.68,2287,828,73.42,26.58,828,2287,68,2046,16,18,0,45,94,26.58,73.42,2.18,65.68,0.51,0.58,0,1.44,3.02,2292,181,1677,16,11,0,290,117,7.9,73.17,0.7,0.48,0,12.65,5.1,535,1757,58,1576,13,11,0,32,67,23.34,76.66,2.53,68.76,0.57,0.48,0,1.4,2.92,31.46067416
39,0.39215836,2815,1278,2815,18591.5274,0.1514,1278,1158,120,90.61,9.39,172,2193,20,19,1,290,120,6.11,77.9,0.71,0.67,0.04,10.3,4.26,2281,534,81.03,18.97,534,2281,52,2087,9,19,1,47,66,18.97,81.03,1.85,74.14,0.32,0.67,0.04,1.67,2.34,2112,125,1692,12,13,1,188,81,5.92,80.11,0.57,0.62,0.05,8.9,3.84,336,1776,43,1629,8,13,1,34,48,15.91,84.09,2.04,77.13,0.38,0.62,0.05,1.61,2.27,13.85435169
60,0.37057658,5025,2117,5025,35120.0687,0.1431,2117,2035,82,96.13,3.87,400,3355,43,34,1,927,265,7.96,66.77,0.86,0.68,0.02,18.45,5.27,3364,1661,66.95,33.05,1661,3364,62,3093,21,32,1,44,111,33.05,66.95,1.23,61.55,0.42,0.64,0.02,0.88,2.21,3444,266,2350,28,26,1,618,155,7.72,68.23,0.81,0.75,0.03,17.94,4.5,1073,2371,51,2189,16,25,1,25,64,31.16,68.84,1.48,63.56,0.46,0.73,0.03,0.73,1.86,11.94029851
124,0.44699537,4571,1863,4571,26485.5638,0.1726,1863,1681,182,90.23,9.77,252,3487,39,32,2,536,223,5.51,76.29,0.85,0.7,0.04,11.73,4.88,3542,1029,77.49,22.51,1029,3542,86,3231,28,30,1,51,115,22.51,77.49,1.88,70.68,0.61,0.66,0.02,1.12,2.52,3259,165,2520,27,21,2,381,143,5.06,77.32,0.83,0.64,0.06,11.69,4.39,684,2575,67,2352,20,21,1,39,75,20.99,79.01,2.06,72.17,0.61,0.64,0.03,1.2,2.3,27.12754321
69,0.27367298,2233,830,2233,21132.8318,0.1057,830,772,58,93.01,6.99,224,1284,19,45,4,534,123,10.03,57.5,0.85,2.02,0.18,23.91,5.51,1368,865,61.26,38.74,865,1368,40,1176,5,45,0,53,49,38.74,61.26,1.79,52.66,0.22,2.02,0,2.37,2.19,1458,137,875,11,28,3,336,68,9.4,60.01,0.75,1.92,0.21,23.05,4.66,521,937,28,806,5,28,0,44,26,35.73,64.27,1.92,55.28,0.34,1.92,0,3.02,1.78,30.90013435
59,0.38039333,3179,1268,3179,21644.8521,0.1469,1268,1123,145,88.56,11.44,317,2047,20,28,2,588,177,9.97,64.39,0.63,0.88,0.06,18.5,5.57,2097,1082,65.96,34.04,1082,2097,47,1854,8,19,1,73,95,34.04,65.96,1.48,58.32,0.25,0.6,0.03,2.3,2.99,2100,212,1391,14,17,2,355,109,10.1,66.24,0.67,0.81,0.1,16.9,5.19,658,1442,40,1276,7,15,1,46,57,31.33,68.67,1.9,60.76,0.33,0.71,0.05,2.19,2.71,18.55929538
48,0.42513483,3659,1294,3659,22291.1924,0.1641,1294,1148,146,88.72,11.28,388,2155,43,36,3,713,321,10.6,58.9,1.18,0.98,0.08,19.49,8.77,2454,1205,67.07,32.93,1205,2454,89,1900,18,32,2,236,177,32.93,67.07,2.43,51.93,0.49,0.87,0.05,6.45,4.84,2508,262,1504,36,24,1,489,192,10.45,59.97,1.44,0.96,0.04,19.5,7.66,746,1762,72,1360,14,21,0,176,119,29.74,70.26,2.87,54.23,0.56,0.84,0,7.02,4.74,13.11833834
31,0.30166507,2348,793,2348,20159.1566,0.1165,793,720,73,90.79,9.21,233,1017,16,36,3,799,244,9.92,43.31,0.68,1.53,0.13,34.03,10.39,1856,492,79.05,20.95,492,1856,93,916,8,36,3,605,195,20.95,79.05,3.96,39.01,0.34,1.53,0.13,25.77,8.3,1695,157,728,8,29,3,590,180,9.26,42.95,0.47,1.71,0.18,34.81,10.62,305,1390,70,665,4,29,3,467,152,17.99,82.01,4.13,39.23,0.24,1.71,0.18,27.55,8.97,13.20272572
270,1.07256101,4275,1990,4275,10323.045,0.4141,1990,1832,158,92.06,7.94,2747,394,14,747,0,249,124,64.26,9.22,0.33,17.47,0,5.82,2.9,3896,379,91.13,8.87,379,3896,2597,370,10,747,0,72,100,8.87,91.13,60.75,8.65,0.23,17.47,0,1.68,2.34,3641,2415,306,14,627,0,201,78,66.33,8.4,0.38,17.22,0,5.52,2.14,280,3361,2309,287,10,627,0,60,68,7.69,92.31,63.42,7.88,0.27,17.22,0,1.65,1.87,63.15789474
16,1.52252678,3730,1640,3730,8235.4174,0.5879,1640,1540,100,93.9,6.1,1674,760,20,742,5,394,135,44.88,20.38,0.54,19.89,0.13,10.56,3.62,2962,768,79.41,20.59,768,2962,1400,659,10,742,5,62,84,20.59,79.41,37.53,17.67,0.27,19.89,0.13,1.66,2.25,3145,1502,573,16,681,5,279,89,47.76,18.22,0.51,21.65,0.16,8.87,2.83,547,2598,1293,515,7,681,5,41,56,17.39,82.61,41.11,16.38,0.22,21.65,0.16,1.3,1.78,4.289544236
60,1.63643591,2742,1315,2742,5984.8537,0.6322,1315,1236,79,93.99,6.01,1663,316,1,517,2,143,100,60.65,11.52,0.04,18.85,0.07,5.22,3.65,2530,212,92.27,7.73,212,2530,1599,298,0,517,2,32,82,7.73,92.27,58.32,10.87,0,18.85,0.07,1.17,2.99,2282,1473,243,0,397,2,102,65,64.55,10.65,0,17.4,0.09,4.47,2.85,152,2130,1426,231,0,397,2,22,52,6.66,93.34,62.49,10.12,0,17.4,0.09,0.96,2.28,21.88183807
63,0.42389759,4861,1966,4861,29700.3099,0.1637,1966,1792,174,91.15,8.85,2443,647,16,1217,9,320,209,50.26,13.31,0.33,25.04,0.19,6.58,4.3,4395,466,90.41,9.59,466,4395,2260,597,16,1215,0,130,177,9.59,90.41,46.49,12.28,0.33,24.99,0,2.67,3.64,3941,2110,473,6,944,9,243,156,53.54,12,0.15,23.95,0.23,6.17,3.96,337,3604,1985,439,6,942,0,97,135,8.55,91.45,50.37,11.14,0.15,23.9,0,2.46,3.43,12.96029624
55,0.32361156,3234,1239,3234,25882.9128,0.1249,1239,1160,79,93.62,6.38,1161,858,11,198,6,725,275,35.9,26.53,0.34,6.12,0.19,22.42,8.5,2537,697,78.45,21.55,697,2537,981,762,5,196,5,390,198,21.55,78.45,30.33,23.56,0.15,6.06,0.15,12.06,6.12,2484,1004,619,7,161,6,507,180,40.42,24.92,0.28,6.48,0.24,20.41,7.25,446,2038,889,562,3,159,5,287,133,17.95,82.05,35.79,22.62,0.12,6.4,0.2,11.55,5.35,17.00680272
17,0.2625608,2499,868,2499,24651.0512,0.1014,868,790,78,91.01,8.99,316,926,12,83,2,900,260,12.65,37.05,0.48,3.32,0.08,36.01,10.4,1967,532,78.71,21.29,532,1967,165,869,6,81,1,644,201,21.29,78.71,6.6,34.77,0.24,3.24,0.04,25.77,8.04,1789,251,610,5,60,2,678,183,14.03,34.1,0.28,3.35,0.11,37.9,10.23,370,1419,145,568,3,58,1,499,145,20.68,79.32,8.11,31.75,0.17,3.24,0.06,27.89,8.11,6.802721088
39,0.32502443,2741,939,2741,21842.2162,0.1255,939,879,60,93.61,6.39,413,1373,11,27,1,676,240,15.07,50.09,0.4,0.99,0.04,24.66,8.76,1939,802,70.74,29.26,802,1939,196,1267,6,26,1,262,181,29.26,70.74,7.15,46.22,0.22,0.95,0.04,9.56,6.6,2024,348,999,10,22,1,486,158,17.19,49.36,0.49,1.09,0.05,24.01,7.81,582,1442,183,918,5,22,1,189,124,28.75,71.25,9.04,45.36,0.25,1.09,0.05,9.34,6.13,14.2283838
64,0.40416583,4370,1653,4370,28003.9577,0.156,1653,1470,183,88.93,11.07,626,1888,11,203,1,1209,432,14.32,43.2,0.25,4.65,0.02,27.67,9.89,3453,917,79.02,20.98,917,3453,407,1735,8,202,0,749,352,20.98,79.02,9.31,39.7,0.18,4.62,0,17.14,8.05,3187,522,1322,8,155,1,867,312,16.38,41.48,0.25,4.86,0.03,27.2,9.79,608,2579,381,1222,5,155,0,553,263,19.08,80.92,11.95,38.34,0.16,4.86,0,17.35,8.25,14.64530892
78,0.31269554,3138,1165,3138,25991.1555,0.1207,1165,1043,122,89.53,10.47,489,1079,9,813,0,526,222,15.58,34.38,0.29,25.91,0,16.76,7.07,2652,486,84.51,15.49,486,2652,385,1015,9,805,0,263,175,15.49,84.51,12.27,32.35,0.29,25.65,0,8.38,5.58,2283,413,732,7,614,0,368,149,18.09,32.06,0.31,26.89,0,16.12,6.53,322,1961,348,700,7,608,0,183,115,14.1,85.9,15.24,30.66,0.31,26.63,0,8.02,5.04,24.85659656
71,0.28932582,3069,1050,3069,27473.164,0.1117,1050,917,133,87.33,12.67,354,1595,26,127,0,690,277,11.53,51.97,0.85,4.14,0,22.48,9.03,2437,632,79.41,20.59,632,2437,200,1440,10,127,0,456,204,20.59,79.41,6.52,46.92,0.33,4.14,0,14.86,6.65,2167,277,1097,16,95,0,495,187,12.78,50.62,0.74,4.38,0,22.84,8.63,433,1734,170,987,4,95,0,336,142,19.98,80.02,7.84,45.55,0.18,4.38,0,15.51,6.55,23.13457152
56,0.43206193,3452,1214,3452,20693.0007,0.1668,1214,1042,172,85.83,14.17,294,1947,17,60,0,890,244,8.52,56.4,0.49,1.74,0,25.78,7.07,2739,713,79.35,20.65,713,2739,132,1798,14,59,0,524,212,20.65,79.35,3.82,52.09,0.41,1.71,0,15.18,6.14,2429,217,1364,9,50,0,616,173,8.93,56.15,0.37,2.06,0,25.36,7.12,454,1975,110,1274,9,50,0,374,158,18.69,81.31,4.53,52.45,0.37,2.06,0,15.4,6.5,16.22247972
64,0.48198232,3860,1380,3860,20742.0432,0.1861,1380,1244,136,90.14,9.86,281,2917,35,12,0,417,198,7.28,75.57,0.91,0.31,0,10.8,5.13,3036,824,78.65,21.35,824,3036,94,2699,17,12,0,97,117,21.35,78.65,2.44,69.92,0.44,0.31,0,2.51,3.03,2693,193,2056,26,12,0,286,120,7.17,76.35,0.97,0.45,0,10.62,4.46,525,2168,76,1918,12,12,0,75,75,19.49,80.51,2.82,71.22,0.45,0.45,0,2.78,2.78,16.58031088
86,0.4897385,4945,1693,4945,26151.7726,0.1891,1693,1532,161,90.49,9.51,514,2885,17,470,10,687,362,10.39,58.34,0.34,9.5,0.2,13.89,7.32,3894,1051,78.75,21.25,1051,3894,258,2676,11,467,4,220,258,21.25,78.75,5.22,54.12,0.22,9.44,0.08,4.45,5.22,3653,429,2115,16,358,8,498,229,11.74,57.9,0.44,9.8,0.22,13.63,6.27,753,2900,233,1973,11,356,2,162,163,20.61,79.39,6.38,54.01,0.3,9.75,0.05,4.43,4.46,17.39130435
131,1.35607018,6451,2454,6451,12932.2386,0.5238,2454,2252,202,91.77,8.23,2120,1493,25,2045,3,480,285,32.86,23.14,0.39,31.7,0.05,7.44,4.42,5762,689,89.32,10.68,689,5762,1906,1413,10,2026,3,181,223,10.68,89.32,29.55,21.9,0.16,31.41,0.05,2.81,3.46,4901,1837,1066,18,1458,0,342,180,37.48,21.75,0.37,29.75,0,6.98,3.67,470,4431,1681,1015,10,1448,0,131,146,9.59,90.41,34.3,20.71,0.2,29.54,0,2.67,2.98,20.30692916
