Count of Points,Area in Square Kilometers,Population Count (100%),Housing Unit Count (100%),Total Population 2010,Population Density 2010,Total Area 2010 (square miles),2010 Housing Units:,2010 Occupied Units,2010 Vacant Units,% 2010 Occupied Units,% 2010 Vacant Units,White 2010,Black 2010,American Indian 2010,Asian 2010,Native Pacific Islander 2010,Other 2010,Multiracial 2010,% White 2010,% Black 2010,% American Indian 2010,% Asian 2010,% Native Pacific Islander 2010,% Other 2010,% Multiracial 2010,Non-Hispanic 2010,Hispanic 2010,% Non-Hispanic 2010,% Hispanic 2010,2010 Hispanic,2010 Non-Hispanic:,2010 White,2010 Black,2010 American Indian,2010 Asian,2010 Native Pacific Islander,2010 Other,2010 Multiracial,% 2010 Hispanic,% 2010 Non-Hispanic:,% 2010 White,% 2010 Black,% 2010 American Indian,% 2010 Asian,% 2010 Native Pacific Islander,% 2010 Other,% 2010 Multiracial,Population 18 Years and Over 2010:,White 18 Years and Over 2010,Black 18 Years and Over 2010,American Indian 18 Years and Over 2010,Asian 18 Years and Over 2010,Native Pacific Islander 18 Years and Over 2010,Other 18 Years and Over 2010,Multiracial 18 Years and Over 2010,% White 18 Years and Over 2010,% Black 18 Years and Over 2010,% American Indian 18 Years and Over 2010,% Asian 18 Years and Over 2010,% Native Pacific Islander 18 Years and Over 2010,% Other 18 Years and Over 2010,% Multiracial 18 Years and Over 2010,2010 Hispanic 18 Years and Over,2010 Non-Hispanic 18 Years and Over:,2010 Non-Hispanic White 18 Years and Over,2010 Non-Hispanic Black 18 Years and Over,2010 Non-Hispanic American Indian 18 Years and Over,2010 Non-Hispanic Asian 18 Years and Over,2010 Non-Hispanic Native Pacific Islander 18 Years and Over,2010 Non-Hispanic Other 18 Years and Over,2010 Non-Hispanic Multiracial 18 Years and Over,% 2010 Hispanic 18 Years and Over,% 2010 Non-Hispanic 18 Years and Over:,% 2010 Non-Hispanic White 18 Years and Over,% 2010 Non-Hispanic Black 18 Years and Over,% 2010 Non-Hispanic American Indian 18 Years and Over,% 2010 Non-Hispanic Asian 18 Years and Over,% 2010 Non-Hispanic Native Pacific Islander 18 Years and Over,% 2010 Non-Hispanic Other 18 Years and Over,% 2010 Non-Hispanic Multiracial 18 Years and Over,Crime Rate
36,0.4950438,3571,1525,3571,18682.879,0.1911,1525,1450,75,95.08,4.92,2645,94,2,541,0,189,100,74.07,2.63,0.06,15.15,0,5.29,2.8,3283,288,91.94,8.06,288,3283,2480,82,2,540,0,94,85,8.06,91.94,69.45,2.3,0.06,15.12,0,2.63,2.38,3276,2468,88,2,479,0,162,77,75.34,2.69,0.06,14.62,0,4.95,2.35,247,3029,2323,76,2,478,0,84,66,7.54,92.46,70.91,2.32,0.06,14.59,0,2.56,2.01,10.08120975
48,0.5997763,3974,2035,3974,17160.7319,0.2316,2035,1968,67,96.71,3.29,2401,476,14,637,3,287,156,60.42,11.98,0.35,16.03,0.08,7.22,3.93,3333,641,83.87,16.13,641,3333,2137,424,3,635,2,28,104,16.13,83.87,53.77,10.67,0.08,15.98,0.05,0.7,2.62,3498,2263,336,13,572,2,192,120,64.69,9.61,0.37,16.35,0.06,5.49,3.43,440,3058,2066,304,3,570,2,26,87,12.58,87.42,59.06,8.69,0.09,16.3,0.06,0.74,2.49,12.07851032
33,0.23043423,4446,2359,4446,49971.5173,0.089,2359,2294,65,97.24,2.76,3226,198,8,730,4,151,129,72.56,4.45,0.18,16.42,0.09,3.4,2.9,4113,333,92.51,7.49,333,4113,3050,179,4,728,4,42,106,7.49,92.51,68.6,4.03,0.09,16.37,0.09,0.94,2.38,4274,3138,180,8,675,4,144,125,73.42,4.21,0.19,15.79,0.09,3.37,2.92,305,3969,2979,165,4,673,4,41,103,7.14,92.86,69.7,3.86,0.09,15.75,0.09,0.96,2.41,7.422402159
85,0.17802038,2791,1418,2791,40605.8674,0.0687,1418,1395,23,98.38,1.62,1821,93,3,672,1,99,102,65.25,3.33,0.11,24.08,0.04,3.55,3.65,2609,182,93.48,6.52,182,2609,1708,85,3,662,1,57,93,6.52,93.48,61.2,3.05,0.11,23.72,0.04,2.04,3.33,2733,1794,93,3,656,1,92,94,65.64,3.4,0.11,24,0.04,3.37,3.44,180,2553,1681,85,3,647,1,50,86,6.59,93.41,61.51,3.11,0.11,23.67,0.04,1.83,3.15,30.45503404
67,0.23978377,4801,2405,4801,51857.8719,0.0926,2405,2350,55,97.71,2.29,3209,317,13,879,5,229,149,66.84,6.6,0.27,18.31,0.1,4.77,3.1,4226,575,88.02,11.98,575,4226,2873,288,3,874,4,73,111,11.98,88.02,59.84,6,0.06,18.2,0.08,1.52,2.31,4558,3128,279,9,814,5,199,124,68.63,6.12,0.2,17.86,0.11,4.37,2.72,496,4062,2829,253,3,809,4,64,100,10.88,89.12,62.07,5.55,0.07,17.75,0.09,1.4,2.19,13.95542595
86,0.97747624,8136,3129,8136,21557.7302,0.3774,3129,3011,118,96.23,3.77,4965,359,22,1572,3,846,369,61.03,4.41,0.27,19.32,0.04,10.4,4.54,6670,1466,81.98,18.02,1466,6670,4292,318,6,1565,3,250,236,18.02,81.98,52.75,3.91,0.07,19.24,0.04,3.07,2.9,7465,4696,308,20,1424,3,705,309,62.91,4.13,0.27,19.08,0.04,9.44,4.14,1201,6264,4137,273,6,1417,3,223,205,16.09,83.91,55.42,3.66,0.08,18.98,0.04,2.99,2.75,10.57030482
20,1.1581896,6584,946,6584,14723.3755,0.4472,946,882,64,93.23,6.77,4333,405,10,1415,1,133,287,65.81,6.15,0.15,21.49,0.02,2.02,4.36,6008,576,91.25,8.75,576,6008,3935,384,8,1400,1,25,255,8.75,91.25,59.77,5.83,0.12,21.26,0.02,0.38,3.87,6395,4263,381,8,1366,1,119,257,66.66,5.96,0.13,21.36,0.02,1.86,4.02,541,5854,3875,363,6,1355,1,20,234,8.46,91.54,60.59,5.68,0.09,21.19,0.02,0.31,3.66,3.037667072
5,0.27303306,4569,528,4569,43341.6419,0.1054,528,490,38,92.8,7.2,2800,148,5,1338,0,85,193,61.28,3.24,0.11,29.28,0,1.86,4.22,4222,347,92.41,7.59,347,4222,2574,130,4,1328,0,21,165,7.59,92.41,56.34,2.85,0.09,29.07,0,0.46,3.61,4550,2794,145,5,1330,0,85,191,61.41,3.19,0.11,29.23,0,1.87,4.2,347,4203,2568,127,4,1320,0,21,163,7.63,92.37,56.44,2.79,0.09,29.01,0,0.46,3.58,1.094331364
45,0.28673469,4804,2136,4804,44539.5532,0.1109,2136,1916,220,89.7,10.3,3439,129,10,974,0,86,166,71.59,2.69,0.21,20.27,0,1.79,3.46,4395,409,91.49,8.51,409,4395,3140,128,8,967,0,14,138,8.51,91.49,65.36,2.66,0.17,20.13,0,0.29,2.87,4701,3355,129,10,962,0,83,162,71.37,2.74,0.21,20.46,0,1.77,3.45,397,4304,3065,128,8,955,0,14,134,8.45,91.55,65.2,2.72,0.17,20.31,0,0.3,2.85,9.367194005
249,0.36629222,5569,3663,5569,39505.3578,0.141,3663,3499,164,95.52,4.48,3952,298,15,923,5,166,210,70.96,5.35,0.27,16.57,0.09,2.98,3.77,5000,569,89.78,10.22,569,5000,3605,278,11,916,4,21,165,10.22,89.78,64.73,4.99,0.2,16.45,0.07,0.38,2.96,5400,3866,259,15,899,5,157,199,71.59,4.8,0.28,16.65,0.09,2.91,3.69,525,4875,3550,241,11,893,4,20,156,9.72,90.28,65.74,4.46,0.2,16.54,0.07,0.37,2.89,44.71179745
