Total Cases,2015 Cases,2016 Cases,2017 Cases,2018 Cases,2019 Cases,2020 Cases,2021 Cases,Area in Square Kilometers,Population Count,Housing Unit Count,Total Population,Population Density,Total Area (sq miles),Housing Units,Occupied Units,Vacant Units,% Occupied Units,% Vacant Units,% White,% Black ,% American Indian ,% Asian ,% Native Pacific Islander ,% Other ,% Multiracial ,Crime Rate
141,19,21,28,51,4,12,6,0.29562186,3216,1684,3216,28175.7556,0.1141,1684,1575,109,93.53,6.47,97.82,0.62,0.12,0.44,0.06,0.31,0.62,43.84328358
82,16,14,14,20,2,7,9,0.17038558,1916,999,1916,29124.5584,0.0658,999,927,72,92.79,7.21,98.85,0.16,0,0.42,0,0.1,0.47,42.79749478
205,30,48,32,51,6,19,19,0.27252072,3076,1647,3076,29234.0436,0.1052,1647,1540,107,93.5,6.5,97.07,0.72,0.03,0.91,0,0.42,0.85,66.6449935
317,46,56,65,84,5,40,21,0.39928043,4904,2543,4904,31810.6711,0.1542,2543,2378,165,93.51,6.49,95.55,1.04,0.14,1.75,0.04,0.53,0.94,64.6411093
317,52,53,61,76,18,30,27,0.41174353,3571,1942,3571,22462.7246,0.159,1942,1831,111,94.28,5.72,94.62,0.64,0.08,2.77,0.03,0.62,1.23,88.77065248
507,52,53,81,98,24,102,97,1.89347138,2357,1530,2357,4841.1989,0.7309,1530,1370,160,89.54,10.46,89.52,1.4,0.3,6.36,0.04,0.72,1.65,215.1039457
113,12,31,25,21,3,14,7,0.12822621,1893,636,1893,38235.3876,0.0495,636,617,19,97.01,2.99,30.22,25.83,0.26,10.25,0,26.04,7.4,59.69360803
403,54,78,85,88,9,41,48,0.34122778,3964,2142,3964,30087.6321,0.1317,2142,2002,140,93.46,6.54,91.57,1.08,0.28,4.62,0.03,1.16,1.26,101.6649849
222,33,42,36,49,9,28,25,0.17303794,3098,1408,3098,46370.3302,0.0668,1408,1239,169,88,12,49.26,19.27,0.52,11.17,0,14.04,5.75,71.65913493
194,22,37,42,36,12,28,17,0.16527957,2232,1044,2232,34975.6974,0.0638,1044,982,62,94.06,5.94,36.29,27.2,0.9,14.02,0.27,15.23,6.09,86.91756272
1387,123,132,163,142,69,436,322,1.91393971,3240,2041,3240,4556.9434,0.739,2041,1753,288,85.89,14.11,87.72,2.72,0.06,6.91,0.09,1.2,1.3,428.0864198
4623,585,975,948,876,179,433,627,1.10814014,5902,3383,5902,14999.1014,0.4275,3383,2875,508,84.98,15.02,63.59,5.07,0.05,27.21,0.07,1.52,2.49,783.2937987
927,133,231,222,167,27,75,72,0.26878234,5218,1690,5218,50281.4865,0.1038,1690,1533,157,90.71,9.29,35.05,3.79,0.08,58.28,0.02,1.05,1.72,177.6542737
675,103,156,150,132,14,66,54,0.33606288,3909,2706,3909,30126.0868,0.1298,2706,2448,258,90.47,9.53,79.07,2.81,0.1,14.53,0.03,1.13,2.33,172.6784344
368,14,74,71,87,16,74,32,0.27788688,1723,680,1723,16672.2059,0.1073,680,666,14,97.94,2.06,8.94,13.87,0.12,69.99,0,4.7,2.38,213.5809634
521,85,102,97,90,24,64,59,0.29727885,5460,3066,5460,47569.3946,0.1148,3066,2903,163,94.68,5.32,62.67,8.52,0.35,17.18,0.02,7.99,3.28,95.42124542
206,33,46,40,28,16,28,15,0.13253397,2240,1309,2240,43774.8855,0.0512,1309,1210,99,92.44,7.56,84.91,4.29,0.13,5.8,0.04,2.19,2.63,91.96428571
366,49,75,73,59,13,49,48,0.16413029,2361,1366,2361,37256.5918,0.0634,1366,1238,128,90.63,9.37,59.17,24.82,0.3,9.95,0,1.91,3.85,155.0190597
382,56,81,72,80,14,56,23,0.1943907,3706,2156,3706,49377.517,0.0751,2156,2044,112,94.81,5.19,66.89,19.7,0.13,7.15,0,2.81,3.32,103.0760928
422,72,90,80,65,13,56,46,0.16746853,3329,1798,3329,51484.5736,0.0647,1798,1728,70,96.11,3.89,51.82,25.02,0.48,8.11,0.03,9.91,4.63,126.7647942
1424,195,244,315,332,51,159,128,0.36277071,3753,2185,3753,26794.5303,0.1401,2185,2088,97,95.56,4.44,53.74,17.13,0.64,17.88,0.03,7.25,3.33,379.4297895
1827,81,118,109,94,198,771,456,0.4022294,3131,1399,3131,20160.8352,0.1553,1399,1304,95,93.21,6.79,46.89,21.27,0.35,15.27,0.13,12.42,3.67,583.5196423
937,93,160,177,213,30,141,123,1.02638796,3350,744,3350,8453.367,0.3963,744,681,63,91.53,8.47,33.49,45.88,0.54,1.31,0,14.03,4.75,279.7014925
349,45,95,52,65,13,40,39,0.26883134,1769,791,1769,17042.9442,0.1038,791,693,98,87.61,12.39,11.19,65.29,1.07,0.9,0,16.39,5.14,197.2866026
597,85,132,138,87,21,86,48,0.44046452,2710,1249,2710,15935.0225,0.1701,1249,1225,24,98.08,1.92,18.01,56.68,1.03,2.47,0,14.13,7.68,220.295203
310,40,63,55,51,19,48,34,0.24556812,3096,1323,3096,32653.023,0.0948,1323,1269,54,95.92,4.08,20.87,54.04,0.36,3.26,0.1,15.96,5.43,100.129199
1264,103,118,118,99,143,355,328,0.56016074,4271,920,4271,19747.5355,0.2163,920,882,38,95.87,4.13,55.47,22.31,0.42,9.04,0,9.11,3.65,295.9494264
214,42,51,44,36,10,22,9,0.36470245,3885,946,3885,27590.0833,0.1408,946,927,19,97.99,2.01,43.96,24.35,1.13,10.04,0,15.8,4.71,55.08365508
439,68,73,95,83,15,60,45,0.25666809,4008,1776,4008,40444.1237,0.0991,1776,1686,90,94.93,5.07,68.56,8.98,0.25,16.47,0.1,2.42,3.22,109.5309381
678,109,150,167,117,16,70,49,0.55848694,4890,2287,4890,22677.3741,0.2156,2287,2234,53,97.68,2.32,51.37,16.34,0.72,19,0.06,8.22,4.29,138.6503067
420,76,116,65,77,11,51,24,0.49587724,4091,1781,4091,21367.478,0.1915,1781,1682,99,94.44,5.56,54.53,23.25,0.27,13.57,0.05,4.89,3.45,102.6643852
366,48,91,76,72,17,39,23,0.28237568,3265,1232,3265,29947.2006,0.109,1232,1125,107,91.31,8.69,29.31,35.9,1.19,2.6,0,22.76,8.24,112.0980092
737,96,155,158,171,30,77,50,0.58033879,4760,2111,4760,21243.3838,0.2241,2111,2001,110,94.79,5.21,19.68,49.37,1.26,0.95,0.11,21.53,7.1,154.8319328
483,79,128,96,85,16,48,31,0.62048428,3003,1462,3003,12535.0075,0.2396,1462,1300,162,88.92,11.08,27.64,54.88,1.23,3.1,0,8.52,4.63,160.8391608
214,22,66,28,53,7,21,17,0.33629413,2134,905,2134,16435.1753,0.1298,905,839,66,92.71,7.29,15.75,67.76,0.56,1.17,0.09,9.7,4.97,100.2811621
409,73,87,80,87,9,36,37,0.63356519,3820,1599,3820,15616.0296,0.2446,1599,1473,126,92.12,7.88,6.86,75.65,0.89,1.65,0.03,9.61,5.31,107.0680628
412,69,85,73,81,13,46,45,0.37392147,2898,1388,2898,20073.2382,0.1444,1388,1139,249,82.06,17.94,7.45,70.08,0.55,1.38,0.14,13.84,6.56,142.1670117
515,71,105,109,124,20,46,40,0.43338377,3115,1397,3115,18615.8095,0.1673,1397,1256,141,89.91,10.09,8.44,71.11,0.67,0.58,0,13.52,5.68,165.329053
325,61,62,51,60,11,47,33,0.39215836,2815,1278,2815,18591.5274,0.1514,1278,1158,120,90.61,9.39,6.11,77.9,0.71,0.67,0.04,10.3,4.26,115.4529307
415,55,102,83,94,6,43,32,0.37057658,5025,2117,5025,35120.0687,0.1431,2117,2035,82,96.13,3.87,7.96,66.77,0.86,0.68,0.02,18.45,5.27,82.58706468
643,97,137,130,147,25,60,47,0.44699537,4571,1863,4571,26485.5638,0.1726,1863,1681,182,90.23,9.77,5.51,76.29,0.85,0.7,0.04,11.73,4.88,140.6694378
467,47,107,106,87,12,53,55,0.27367298,2233,830,2233,21132.8318,0.1057,830,772,58,93.01,6.99,10.03,57.5,0.85,2.02,0.18,23.91,5.51,209.1356919
